,1995-2016,ticker,company,1996-2017,ticker,company,1997-2018,ticker,company
138,1235.78%,URBN,Urban Outfitters,802.36%,STT,State Street Corp.,1046.82%,DE,Deere & Co.
139,1231.47%,ADI,"Analog Devices, Inc.",795.32%,XEC,Cimarex Energy,1031.91%,JEC,Jacobs Engineering Group
140,1229.53%,MAR,Marriott Int'l.,786.15%,BBBY,Bed Bath & Beyond,1028.99%,EQT,EQT Corporation
141,1220.00%,SNA,Snap-On Inc.,785.74%,JNJ,Johnson & Johnson,1018.48%,UTX,United Technologies
142,1218.24%,IRM,Iron Mountain Incorporated,781.16%,JEC,Jacobs Engineering Group,1014.97%,SJM,JM Smucker
143,1208.69%,XRAY,Dentsply Sirona,758.01%,HAS,Hasbro Inc.,1004.43%,AMG,Affiliated Managers Group Inc
144,1207.57%,PRGO,Perrigo,757.55%,CMG,Chipotle Mexican Grill,995.63%,D,Dominion Energy
145,1203.72%,CMCSA,Comcast Corp.,734.36%,WEC,Wec Energy Group Inc,993.00%,PBCT,People's United Financial
146,1203.66%,FFIV,F5 Networks,732.28%,CSCO,Cisco Systems,976.54%,ILMN,Illumina Inc
147,1198.60%,ITT,ITT Corp.,722.63%,CHTR,Charter Communications,975.97%,WEC,Wec Energy Group Inc
148,1187.81%,CL,Colgate-Palmolive,719.67%,WMT,Wal-Mart Stores,975.22%,NKE,Nike
149,1143.13%,EL,Estee Lauder Cos.,713.05%,LEG,Leggett & Platt,960.47%,CXO,Concho Resources
150,1142.54%,ITW,Illinois Tool Works,707.96%,JPM,JPMorgan Chase & Co.,955.12%,PVH,PVH Corp.
151,1135.65%,EQT,EQT Corporation,707.94%,ICE,Intercontinental Exchange,926.34%,CTAS,Cintas Corporation
152,1134.05%,MCD,McDonald's Corp.,706.49%,AXP,American Express Co,919.42%,ICE,Intercontinental Exchange
153,1109.74%,JNJ,Johnson & Johnson,702.14%,HUM,Humana Inc.,915.93%,RE,Everest Re
154,1107.02%,CMI,Cummins Inc.,700.87%,CINF,Cincinnati Financial,896.85%,V,Visa Inc.
155,1105.22%,RE,Everest Re,699.01%,MMC,Marsh & McLennan,895.79%,XLNX,Xilinx Inc
156,1083.89%,SBAC,SBA Communications,692.99%,DTE,DTE Energy,893.01%,GRMN,Garmin Ltd.
157,1078.66%,EXR,Extra Space Storage,688.03%,AON,Aon plc,888.67%,EQR,Equity Residential
158,1075.93%,ALB,Albemarle Corp,681.41%,ANTM,Anthem Inc.,888.63%,KLAC,KLA-Tencor Corp.
159,1073.33%,NTRS,Northern Trust Corp.,679.44%,AMAT,Applied Materials Inc,884.73%,CLX,The Clorox Company
160,1071.25%,STT,State Street Corp.,671.69%,HCP,HCP Inc.,882.94%,CCI,Crown Castle International Corp.
161,1062.78%,LLL,L-3 Communications Holdings,670.41%,FL,Foot Locker Inc,879.50%,DXC,DXC Technology
162,1058.16%,GGP,General Growth Properties Inc.,669.46%,GIS,General Mills,859.23%,CL,Colgate-Palmolive
163,1050.49%,MON,Monsanto Co.,667.89%,CAH,Cardinal Health,856.18%,COF,Capital One Financial
164,1046.09%,TSS,Total System Services,664.87%,NI,NiSource Inc.,852.53%,MMM,3M Company
165,1044.39%,HSY,The Hershey Company,658.22%,TRV,The Travelers Companies Inc.,852.14%,DVA,DaVita
166,1032.17%,AAP,Advance Auto Parts,653.74%,EIX,Edison Int'l,846.18%,ADI,"Analog Devices, Inc."
