,1995-2011,ticker,company,1996-2012,ticker,company,1997-2013,ticker,company,1998-2014,ticker,company,1999-2015,ticker,company,2000-2016,ticker,company,2001-2017,ticker,company,2002-2018,ticker,company
43,1360.46%,NFX,Newfield Exploration Co,1330.20%,BBY,Best Buy Co. Inc.,1188.84%,AZO,AutoZone Inc,1306.32%,MTD,Mettler Toledo,1602.55%,SIG,Signet Jewelers,1708.87%,IDXX,IDEXX Laboratories,1174.10%,AAP,Advance Auto Parts,1314.87%,SBUX,Starbucks Corp.
44,1309.86%,EBAY,eBay,1326.82%,FFIV,F5 Networks,1184.27%,ROP,Roper Technologies,1290.07%,DGX,Quest Diagnostics,1591.67%,DISH,Dish Network,1685.02%,GPN,Global Payments Inc,1171.22%,BLK,BlackRock,1269.92%,ALB,Albemarle Corp
45,1308.30%,ROP,Roper Technologies,1308.79%,NOV,National Oilwell Varco Inc.,1177.68%,WYNN,Wynn Resorts,1281.28%,BLL,Ball Corp,1587.06%,JBHT,J. B. Hunt Transport Services,1652.85%,EOG,EOG Resources,1115.39%,ROP,Roper Technologies,1240.00%,CHD,Church & Dwight
46,1288.79%,BBBY,Bed Bath & Beyond,1291.41%,OXY,Occidental Petroleum,1123.81%,PRGO,Perrigo,1249.69%,ETN,Eaton Corporation,1586.35%,DGX,Quest Diagnostics,1633.20%,BLL,Ball Corp,1113.44%,UNH,United Health Group Inc.,1224.10%,ORLY,O'Reilly Automotive
47,1287.78%,PSA,Public Storage,1257.40%,OKE,ONEOK,1105.15%,LH,Laboratory Corp. of America Holding,1234.84%,IDXX,IDEXX Laboratories,1565.42%,URBN,Urban Outfitters,1592.19%,AET,Aetna Inc,1086.41%,O,Realty Income Corporation,1210.50%,HRS,Harris Corporation
48,1284.53%,NOV,National Oilwell Varco Inc.,1223.88%,DISH,Dish Network,1079.20%,EQT,EQT Corporation,1234.51%,CMI,Cummins Inc.,1530.65%,ORLY,O'Reilly Automotive,1566.87%,SHW,Sherwin-Williams,1075.58%,ESRX,Express Scripts,1208.12%,CSX,CSX Corp.
49,1283.26%,BWA,BorgWarner,1222.85%,ATVI,Activision Blizzard,1077.08%,PCAR,PACCAR Inc.,1217.09%,APH,Amphenol Corp,1503.21%,COO,The Cooper Companies,1538.73%,TJX,TJX Companies Inc.,1070.12%,SBUX,Starbucks Corp.,1193.99%,PVH,PVH Corp.
50,1229.43%,UTX,United Technologies,1208.51%,SPG,Simon Property Group Inc,1071.66%,SPG,Simon Property Group Inc,1214.18%,MON,Monsanto Co.,1475.47%,CHD,Church & Dwight,1530.92%,TDG,TransDigm Group,1061.67%,RHT,Red Hat Inc.,1181.88%,OKE,ONEOK
51,1191.89%,AFL,AFLAC Inc,1180.79%,CMI,Cummins Inc.,1061.78%,BBY,Best Buy Co. Inc.,1204.15%,CHRW,C. H. Robinson Worldwide,1455.70%,CMG,Chipotle Mexican Grill,1486.80%,FRT,Federal Realty Investment Trust,1057.65%,CF,CF Industries Holdings Inc,1148.99%,EXR,Extra Space Storage
52,1174.39%,MO,Altria Group Inc,1172.83%,PSA,Public Storage,1048.79%,INTU,Intuit,1190.20%,UNH,United Health Group Inc.,1444.00%,EW,Edwards Lifesciences,1459.47%,TPR,"Tapestry, Inc.",1022.85%,CSX,CSX Corp.,1148.04%,ADS,Alliance Data Systems
53,1172.44%,SWKS,Skyworks Solutions,1157.20%,TIF,Tiffany & Co.,1047.26%,WAT,Waters Corporation,1183.49%,CRM,Salesforce.com,1438.77%,VTR,Ventas Inc,1449.20%,GOOGL,Alphabet Inc Class A,1008.54%,NSC,Norfolk Southern Corp.,1142.07%,DHR,Danaher Corp.
54,1143.47%,SYK,Stryker Corp.,1153.41%,BBBY,Bed Bath & Beyond,1042.96%,LB,L Brands Inc.,1165.89%,ATVI,Activision Blizzard,1436.15%,OXY,Occidental Petroleum,1422.46%,GOOG,Alphabet Inc Class C,995.41%,UNP,Union Pacific,1122.13%,UNP,Union Pacific
55,1136.10%,APA,Apache Corporation,1150.70%,SIG,Signet Jewelers,1025.66%,ADS,Alliance Data Systems,1140.66%,VAR,Varian Medical Systems,1421.74%,AYI,Acuity Brands Inc,1401.20%,LKQ,LKQ Corporation,977.13%,HAS,Hasbro Inc.,1114.91%,MTD,Mettler Toledo
56,1132.04%,AME,AMETEK Inc,1145.19%,JBHT,J. B. Hunt Transport Services,1021.86%,VAR,Varian Medical Systems,1140.33%,TIF,Tiffany & Co.,1360.58%,CHRW,C. H. Robinson Worldwide,1396.49%,LSI,LSI Corporation,970.40%,EXR,Extra Space Storage,1100.57%,YUM,Yum! Brands Inc
57,1120.74%,SCHW,Charles Schwab Corporation,1139.62%,DHR,Danaher Corp.,1005.55%,NFLX,Netflix Inc.,1135.30%,PRGO,Perrigo,1349.51%,SPG,Simon Property Group Inc,1388.04%,CME,CME Group Inc.,954.66%,OKE,ONEOK,1096.46%,CCI,Crown Castle International Corp.
58,1108.60%,JBHT,J. B. Hunt Transport Services,1131.56%,TROW,T. Rowe Price Group,995.92%,COO,The Cooper Companies,1126.61%,YUM,Yum! Brands Inc,1332.27%,EQT,EQT Corporation,1370.27%,LMT,Lockheed Martin Corp.,927.91%,CXO,Concho Resources,1080.84%,ESRX,Express Scripts
